PheCode,Number.of.cases,Number.of.controls,Number.of.excluded.controls,Phenotype.Description,Phenotype.Category,URL.ManhattanPlot,Colors
525,"2,689","398,136","8,136",Other diseases of the teeth and supporting structures,digestive,https://www.dropbox.com/s/d9a2m2s306d5w3a/525-Otherdiseasesoftheteethandsupportingstructures-2689cases-398136controls.mh.pdf?dl=0,darkgreen
525.2,73,"398,136","10,752",Atrophy of edentulous alveolar ridge,digestive,https://www.dropbox.com/s/g2bwtgh2ys5y8f8/525.2-Atrophyofedentulousalveolarridge-73cases-398136controls.mh.pdf?dl=0,darkgreen
526,960,"398,136","9,865",Diseases of the jaws,digestive,https://www.dropbox.com/s/qy85y58wwjrj72s/526-Diseasesofthejaws-960cases-398136controls.mh.pdf?dl=0,darkgreen
526.1,329,"398,136","10,496",Cysts of the jaws,digestive,https://www.dropbox.com/s/75dpz6rrw3j1lrr/526.1-Cystsofthejaws-329cases-398136controls.mh.pdf?dl=0,darkgreen
526.3,61,"398,136","10,764",Anomalies of jaw size/symmetry,digestive,https://www.dropbox.com/s/4h4cjmgsqg4lu1h/526.3-Anomaliesofjawsizesymmetry-61cases-398136controls.mh.pdf?dl=0,darkgreen
526.4,241,"398,136","10,584",Temporomandibular joint disorders,digestive,https://www.dropbox.com/s/yql34qo4ut8caef/526.4-Temporomandibularjointdisorders-241cases-398136controls.mh.pdf?dl=0,darkgreen
526.41,234,"398,136","10,591","Temporomandibular joint disorder, unspecified",digestive,https://www.dropbox.com/s/dli4rns783zeaad/526.41-Temporomandibularjointdisorder-unspecified-234cases-398136controls.mh.pdf?dl=0,darkgreen
526.5,110,"398,136","10,715",Inflammatory conditions of jaw,digestive,https://www.dropbox.com/s/hedw3jthvqbeozf/526.5-Inflammatoryconditionsofjaw-110cases-398136controls.mh.pdf?dl=0,darkgreen
526.9,234,"398,136","10,591",Jaw disease NOS,digestive,https://www.dropbox.com/s/zats8jiqs51vrow/526.9-JawdiseaseNOS-234cases-398136controls.mh.pdf?dl=0,darkgreen
527,710,"403,323","4,928",Diseases of the salivary glands,digestive,https://www.dropbox.com/s/952qx7tuxr76c59/527-Diseasesofthesalivaryglands-710cases-403323controls.mh.pdf?dl=0,darkgreen
527.1,84,"403,323","5,554",Hypertrophy of salivary gland,digestive,https://www.dropbox.com/s/x55rtc9dv906y4p/527.1-Hypertrophyofsalivarygland-84cases-403323controls.mh.pdf?dl=0,darkgreen
527.2,366,"403,323","5,272",Sialoadenitis,digestive,https://www.dropbox.com/s/5uzgt0fhua9go30/527.2-Sialoadenitis-366cases-403323controls.mh.pdf?dl=0,darkgreen
527.7,63,"403,323","5,575",Disturbance of salivary secretion,digestive,https://www.dropbox.com/s/kc16qpnwijx8y1r/527.7-Disturbanceofsalivarysecretion-63cases-403323controls.mh.pdf?dl=0,darkgreen
527.8,120,"403,323","5,518",Other specified diseases of the salivary glands,digestive,https://www.dropbox.com/s/tomipw2c8y4llt3/527.8-Otherspecifieddiseasesofthesalivaryglands-120cases-403323controls.mh.pdf?dl=0,darkgreen
528,"3,939","403,323","1,699","Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue",digestive,https://www.dropbox.com/s/e4nf1tks24lj3n8/528-Diseasesoftheoralsofttissues-excludinglesionsspecificforgingivaandtongue-3939cases-403323controls.mh.pdf?dl=0,darkgreen
528.1,472,"403,323","5,166",Stomatitis and mucositis,digestive,https://www.dropbox.com/s/k59x765jz4mpyqv/528.1-Stomatitisandmucositis-472cases-403323controls.mh.pdf?dl=0,darkgreen
528.11,392,"403,323","5,246",Stomatitis and mucositis (ulcerative),digestive,https://www.dropbox.com/s/nvh1d593rlfima3/528.11-Stomatitisandmucositis-ulcerative--392cases-403323controls.mh.pdf?dl=0,darkgreen
528.12,85,"403,323","5,553",Oral aphthae,digestive,https://www.dropbox.com/s/fm4bykhvu437o9n/528.12-Oralaphthae-85cases-403323controls.mh.pdf?dl=0,darkgreen
528.3,181,"403,323","5,457",Cellulitis and abscess of oral soft tissues,digestive,https://www.dropbox.com/s/c916f3v1y1av423/528.3-Cellulitisandabscessoforalsofttissues-181cases-403323controls.mh.pdf?dl=0,darkgreen
528.4,125,"403,323","5,513",Cysts of oral soft tissues,digestive,https://www.dropbox.com/s/yqsna6iglxhuscg/528.4-Cystsoforalsofttissues-125cases-403323controls.mh.pdf?dl=0,darkgreen
528.41,94,"403,323","5,544",Cyst of the salivary gland,digestive,https://www.dropbox.com/s/x0z2y0g9bfd9yyp/528.41-Cystofthesalivarygland-94cases-403323controls.mh.pdf?dl=0,darkgreen
528.5,684,"403,323","4,954",Diseases of lips,digestive,https://www.dropbox.com/s/zaj0hz0b5piq0bw/528.5-Diseasesoflips-684cases-403323controls.mh.pdf?dl=0,darkgreen
528.6,308,"403,323","5,330",Leukoplakia of oral mucosa,digestive,https://www.dropbox.com/s/u7u2cwtlnh09w63/528.6-Leukoplakiaoforalmucosa-308cases-403323controls.mh.pdf?dl=0,darkgreen
528.7,314,"403,323","5,324",Sialolithiasis,digestive,https://www.dropbox.com/s/9xrq9w1alesczh3/528.7-Sialolithiasis-314cases-403323controls.mh.pdf?dl=0,darkgreen
529,"1,236","403,323","4,402",Diseases and other conditions of the tongue,digestive,https://www.dropbox.com/s/jxg0s6ki708m4d2/529-Diseasesandotherconditionsofthetongue-1236cases-403323controls.mh.pdf?dl=0,darkgreen
529.1,300,"403,323","5,338",Glossitis,digestive,https://www.dropbox.com/s/y8gkyzjcdauygzp/529.1-Glossitis-300cases-403323controls.mh.pdf?dl=0,darkgreen
530,"35,852","369,275","3,834",Diseases of esophagus,digestive,https://www.dropbox.com/s/enavkhbl0pc7es0/530-Diseasesofesophagus-35852cases-369275controls.mh.pdf?dl=0,darkgreen
530.1,"32,108","369,275","7,578","Esophagitis, GERD and related diseases",digestive,https://www.dropbox.com/s/oewcr8lx8h539o6/530.1-Esophagitis-GERDandrelateddiseases-32108cases-369275controls.mh.pdf?dl=0,darkgreen
530.11,"14,223","369,275","25,463",GERD,digestive,https://www.dropbox.com/s/ut88wdkulpiusu1/530.11-GERD-14223cases-369275controls.mh.pdf?dl=0,darkgreen
530.12,"5,243","369,275","34,443",Ulcer of esophagus,digestive,https://www.dropbox.com/s/80ggetwc54l2v5r/530.12-Ulcerofesophagus-5243cases-369275controls.mh.pdf?dl=0,darkgreen
530.14,"10,551","369,275","29,135",Reflux esophagitis,digestive,https://www.dropbox.com/s/nc8ig4lxnli8x63/530.14-Refluxesophagitis-10551cases-369275controls.mh.pdf?dl=0,darkgreen
530.2,"1,672","369,275","38,014",Esophageal bleeding (varices/hemorrhage),digestive,https://www.dropbox.com/s/ouyuzwz3dvmyaob/530.2-Esophagealbleeding-variceshemorrhage--1672cases-369275controls.mh.pdf?dl=0,darkgreen
530.3,"1,874","369,275","37,812",Stricture and stenosis of esophagus,digestive,https://www.dropbox.com/s/1z0ql8ab27ea3co/530.3-Strictureandstenosisofesophagus-1874cases-369275controls.mh.pdf?dl=0,darkgreen
530.5,639,"369,275","39,047",Disorders of esophageal motility,digestive,https://www.dropbox.com/s/dvh9pxkf1db27yf/530.5-Disordersofesophagealmotility-639cases-369275controls.mh.pdf?dl=0,darkgreen
530.6,153,"369,275","39,533","Diverticulum of esophagus, acquired",digestive,https://www.dropbox.com/s/h72j77nz7s9jec8/530.6-Diverticulumofesophagus-acquired-153cases-369275controls.mh.pdf?dl=0,darkgreen
530.7,343,"369,275","39,343",Gastroesophageal laceration-hemorrhage syndrome,digestive,https://www.dropbox.com/s/09aq07dy5ty19kl/530.7-Gastroesophageallaceration-hemorrhagesyndrome-343cases-369275controls.mh.pdf?dl=0,darkgreen
530.9,"2,100","369,275","37,586",Heartburn,digestive,https://www.dropbox.com/s/yey2reoisnqun0r/530.9-Heartburn-2100cases-369275controls.mh.pdf?dl=0,darkgreen
531,"7,436","401,525",0,Peptic ulcer (excl. esophageal),digestive,https://www.dropbox.com/s/8iaa9hip9t792fi/531-Pepticulcer-excl.esophageal--7436cases-401525controls.mh.pdf?dl=0,darkgreen
531.1,617,"401,525","6,819",Hemorrhage from gastrointestinal ulcer,digestive,https://www.dropbox.com/s/ie775g4cg2lpkri/531.1-Hemorrhagefromgastrointestinalulcer-617cases-401525controls.mh.pdf?dl=0,darkgreen
531.2,"4,109","401,525","3,327",Gastric ulcer,digestive,https://www.dropbox.com/s/rx50a01j6b6k8z6/531.2-Gastriculcer-4109cases-401525controls.mh.pdf?dl=0,darkgreen
531.3,"3,002","401,525","4,434",Duodenal ulcer,digestive,https://www.dropbox.com/s/omendwda44wagj8/531.3-Duodenalulcer-3002cases-401525controls.mh.pdf?dl=0,darkgreen
531.4,425,"401,525","7,011","Peptic ulcer, site unspecified",digestive,https://www.dropbox.com/s/icrtmng9kywhar6/531.4-Pepticulcer-siteunspecified-425cases-401525controls.mh.pdf?dl=0,darkgreen
532,"6,482","369,275","33,204",Dysphagia,digestive,https://www.dropbox.com/s/3ztkfgl2mzcjbqa/532-Dysphagia-6482cases-369275controls.mh.pdf?dl=0,darkgreen
535,"28,941","378,124","1,896",Gastritis and duodenitis,digestive,https://www.dropbox.com/s/0zmx0s65yqk4jhp/535-Gastritisandduodenitis-28941cases-378124controls.mh.pdf?dl=0,darkgreen
535.1,"1,184","378,124","29,653",Acute gastritis,digestive,https://www.dropbox.com/s/n8zq2pup9sknwmz/535.1-Acutegastritis-1184cases-378124controls.mh.pdf?dl=0,darkgreen
535.2,370,"378,124","30,467",Atrophic gastritis,digestive,https://www.dropbox.com/s/jq6srywonue09rb/535.2-Atrophicgastritis-370cases-378124controls.mh.pdf?dl=0,darkgreen
535.6,"7,655","378,124","23,182",Duodenitis,digestive,https://www.dropbox.com/s/yb2u1eu4tg629na/535.6-Duodenitis-7655cases-378124controls.mh.pdf?dl=0,darkgreen
535.8,"8,147","378,124","22,690",Other specified gastritis,digestive,https://www.dropbox.com/s/9efrf5mm926y5o4/535.8-Otherspecifiedgastritis-8147cases-378124controls.mh.pdf?dl=0,darkgreen
535.9,120,"378,124","30,717","Gastritis and duodenitis, NOS",digestive,https://www.dropbox.com/s/rnhgmvrgkd9n6tm/535.9-Gastritisandduodenitis-NOS-120cases-378124controls.mh.pdf?dl=0,darkgreen
536,268,"378,124","30,569",Disorders of function of stomach,digestive,https://www.dropbox.com/s/cxpbjpnlulimz96/536-Disordersoffunctionofstomach-268cases-378124controls.mh.pdf?dl=0,darkgreen
536.8,259,"378,124","30,578",Dyspepsia and other specified disorders of function of stomach,digestive,https://www.dropbox.com/s/ubq6h9ygkv58930/536.8-Dyspepsiaandotherspecifieddisordersoffunctionofstomach-259cases-378124controls.mh.pdf?dl=0,darkgreen
537,"3,404","378,124","27,433",Other disorders of stomach and duodenum,digestive,https://www.dropbox.com/s/d0el1hogzmusr9w/537-Otherdisordersofstomachandduodenum-3404cases-378124controls.mh.pdf?dl=0,darkgreen
540,"3,409","405,552",0,Appendiceal conditions,digestive,https://www.dropbox.com/s/vc5czbvgqsjdmpq/540-Appendicealconditions-3409cases-405552controls.mh.pdf?dl=0,darkgreen
540.1,"3,217","405,552",192,Appendicitis,digestive,https://www.dropbox.com/s/68l58gkd9qo88wj/540.1-Appendicitis-3217cases-405552controls.mh.pdf?dl=0,darkgreen
540.11,"2,608","405,552",801,Acute appendicitis,digestive,https://www.dropbox.com/s/vnj047tgr0y504m/540.11-Acuteappendicitis-2608cases-405552controls.mh.pdf?dl=0,darkgreen
550,"47,344","361,617",0,Abdominal hernia,digestive,https://www.dropbox.com/s/ngcfjrw4phyd1q7/550-Abdominalhernia-47344cases-361617controls.mh.pdf?dl=0,darkgreen
550.1,"15,995","361,617","31,349",Inguinal hernia,digestive,https://www.dropbox.com/s/a5relqq60q0qug5/550.1-Inguinalhernia-15995cases-361617controls.mh.pdf?dl=0,darkgreen
550.2,"27,126","361,617","20,218",Diaphragmatic hernia,digestive,https://www.dropbox.com/s/zx7vybfzgcexi5o/550.2-Diaphragmatichernia-27126cases-361617controls.mh.pdf?dl=0,darkgreen
550.3,651,"361,617","46,693",Femoral hernia,digestive,https://www.dropbox.com/s/2sp1g0xm7y4trne/550.3-Femoralhernia-651cases-361617controls.mh.pdf?dl=0,darkgreen
550.4,"3,727","361,617","43,617",Umbilical hernia,digestive,https://www.dropbox.com/s/x79u269ftmucqy9/550.4-Umbilicalhernia-3727cases-361617controls.mh.pdf?dl=0,darkgreen
550.5,"3,448","361,617","43,896",Ventral hernia,digestive,https://www.dropbox.com/s/ut9ezh58avxocpc/550.5-Ventralhernia-3448cases-361617controls.mh.pdf?dl=0,darkgreen
555,"4,528","334,783","69,650",Inflammatory bowel disease and other gastroenteritis and colitis,digestive,https://www.dropbox.com/s/9hgexkmlq8rw5q8/555-Inflammatoryboweldiseaseandothergastroenteritisandcolitis-4528cases-334783controls.mh.pdf?dl=0,darkgreen
555.1,"1,743","334,783","72,435",Regional enteritis,digestive,https://www.dropbox.com/s/z39posdlviu674n/555.1-Regionalenteritis-1743cases-334783controls.mh.pdf?dl=0,darkgreen
555.2,"3,195","334,783","70,983",Ulcerative colitis,digestive,https://www.dropbox.com/s/aghzuvmw6hju2yb/555.2-Ulcerativecolitis-3195cases-334783controls.mh.pdf?dl=0,darkgreen
555.21,539,"334,783","73,639",Ulcerative colitis (chronic),digestive,https://www.dropbox.com/s/a8l49mj3zj4c6d3/555.21-Ulcerativecolitis-chronic--539cases-334783controls.mh.pdf?dl=0,darkgreen
556,"1,063","334,783","73,115",Ulceration of the lower GI tract,digestive,https://www.dropbox.com/s/43ofd1xv9sze8l7/556-UlcerationofthelowerGItract-1063cases-334783controls.mh.pdf?dl=0,darkgreen
556.1,674,"334,783","73,504",Ulceration of intestine,digestive,https://www.dropbox.com/s/hx3crb7u7wtat24/556.1-Ulcerationofintestine-674cases-334783controls.mh.pdf?dl=0,darkgreen
557,"2,103","334,783","72,075",Intestinal malabsorption (non-celiac),digestive,https://www.dropbox.com/s/ak3auy2qbp5eyvo/557-Intestinalmalabsorption-non-celiac--2103cases-334783controls.mh.pdf?dl=0,darkgreen
557.1,"1,855","334,783","72,323",Celiac disease,digestive,https://www.dropbox.com/s/r9yxm311oqf1h7d/557.1-Celiacdisease-1855cases-334783controls.mh.pdf?dl=0,darkgreen
558,"15,747","334,783","58,431",Noninfectious gastroenteritis,digestive,https://www.dropbox.com/s/d09gied8kx6pnus/558-Noninfectiousgastroenteritis-15747cases-334783controls.mh.pdf?dl=0,darkgreen
559,"1,660","334,783","72,518",Ileostomy status,digestive,https://www.dropbox.com/s/0eojafao82ldcl3/559-Ileostomystatus-1660cases-334783controls.mh.pdf?dl=0,darkgreen
560,"3,994","334,783","70,184",Intestinal obstruction without mention of hernia,digestive,https://www.dropbox.com/s/y7yisi0bmtrbrif/560-Intestinalobstructionwithoutmentionofhernia-3994cases-334783controls.mh.pdf?dl=0,darkgreen
560.1,522,"334,783","73,656",Paralytic ileus,digestive,https://www.dropbox.com/s/63p0waxy5qxiku7/560.1-Paralyticileus-522cases-334783controls.mh.pdf?dl=0,darkgreen
560.2,267,"334,783","73,911",Impaction of intestine,digestive,https://www.dropbox.com/s/l6wn43a9tlhe479/560.2-Impactionofintestine-267cases-334783controls.mh.pdf?dl=0,darkgreen
560.3,832,"334,783","73,346",Peritoneal or intestinal adhesions,digestive,https://www.dropbox.com/s/0ghj9qkgqqzk76y/560.3-Peritonealorintestinaladhesions-832cases-334783controls.mh.pdf?dl=0,darkgreen
560.4,"3,346","334,783","70,832",Other intestinal obstruction,digestive,https://www.dropbox.com/s/aaoqxzo0fltbb85/560.4-Otherintestinalobstruction-3346cases-334783controls.mh.pdf?dl=0,darkgreen
561,"15,977","334,783","58,201",Symptoms involving digestive system,digestive,https://www.dropbox.com/s/tlrjmjm6apl38fg/561-Symptomsinvolvingdigestivesystem-15977cases-334783controls.mh.pdf?dl=0,darkgreen
561.1,465,"334,783","73,713",Diarrhea,digestive,https://www.dropbox.com/s/089zbwd4lt3xo7q/561.1-Diarrhea-465cases-334783controls.mh.pdf?dl=0,darkgreen
561.2,"1,689","334,783","72,489",Flatulence,digestive,https://www.dropbox.com/s/8mrtxug343zqzv7/561.2-Flatulence-1689cases-334783controls.mh.pdf?dl=0,darkgreen
562,"27,311","334,783","46,867",Diverticulosis and diverticulitis,digestive,https://www.dropbox.com/s/2qfcyqucemam77u/562-Diverticulosisanddiverticulitis-27311cases-334783controls.mh.pdf?dl=0,darkgreen
562.1,"27,268","334,783","46,910",Diverticulosis,digestive,https://www.dropbox.com/s/8t4cpbkx373oovh/562.1-Diverticulosis-27268cases-334783controls.mh.pdf?dl=0,darkgreen
563,"10,442","334,783","63,736",Constipation,digestive,https://www.dropbox.com/s/jsfsb1b29beljyx/563-Constipation-10442cases-334783controls.mh.pdf?dl=0,darkgreen
564,"22,138","334,783","52,040",Functional digestive disorders,digestive,https://www.dropbox.com/s/9tthnukmby0xipy/564-Functionaldigestivedisorders-22138cases-334783controls.mh.pdf?dl=0,darkgreen
564.1,"5,548","334,783","68,630",Irritable Bowel Syndrome,digestive,https://www.dropbox.com/s/gdqyuvnwyf870tr/564.1-IrritableBowelSyndrome-5548cases-334783controls.mh.pdf?dl=0,darkgreen
564.8,"1,650","334,783","72,528",Abnormal findings on exam of gastrointestinal tract/ abdominal area,digestive,https://www.dropbox.com/s/k0po049f46ccacx/564.8-Abnormalfindingsonexamofgastrointestinaltractabdominalarea-1650cases-334783controls.mh.pdf?dl=0,darkgreen
564.9,"15,392","334,783","58,786",Personal history of diseases of digestive system,digestive,https://www.dropbox.com/s/rt3qyqq7slxj8je/564.9-Personalhistoryofdiseasesofdigestivesystem-15392cases-334783controls.mh.pdf?dl=0,darkgreen
565,"14,997","387,338","6,626",Anal and rectal conditions,digestive,https://www.dropbox.com/s/8v02j9dea88mfuf/565-Analandrectalconditions-14997cases-387338controls.mh.pdf?dl=0,darkgreen
565.1,"7,408","387,338","14,215",Anal and rectal polyp,digestive,https://www.dropbox.com/s/rg45jw2koacrdnv/565.1-Analandrectalpolyp-7408cases-387338controls.mh.pdf?dl=0,darkgreen
567,887,"387,338","20,736",Peritonitis and retroperitoneal infections,digestive,https://www.dropbox.com/s/bboglopkr9p1if7/567-Peritonitisandretroperitonealinfections-887cases-387338controls.mh.pdf?dl=0,darkgreen
568,"3,308","387,338","18,315",Other disorders of peritoneum,digestive,https://www.dropbox.com/s/5ejy0km2pfosc0i/568-Otherdisordersofperitoneum-3308cases-387338controls.mh.pdf?dl=0,darkgreen
568.1,"3,108","387,338","18,515",Peritoneal adhesions (postoperative) (postinfection),digestive,https://www.dropbox.com/s/7q9ajt001jposum/568.1-Peritonealadhesions-postoperative--postinfection--3108cases-387338controls.mh.pdf?dl=0,darkgreen
569,"4,200","387,338","17,423",Other disorders of intestine,digestive,https://www.dropbox.com/s/ofac5c5mc9grak2/569-Otherdisordersofintestine-4200cases-387338controls.mh.pdf?dl=0,darkgreen
569.1,149,"387,338","21,474",Toxic gastroenteritis and colitis,digestive,https://www.dropbox.com/s/eu5gabwbqfkv1sr/569.1-Toxicgastroenteritisandcolitis-149cases-387338controls.mh.pdf?dl=0,darkgreen
569.2,486,"387,338","21,137",Gastrointestinal complications,digestive,https://www.dropbox.com/s/qxoyy9k3yl3txjs/569.2-Gastrointestinalcomplications-486cases-387338controls.mh.pdf?dl=0,darkgreen
571,"2,895","400,055","6,011",Chronic liver disease and cirrhosis,digestive,https://www.dropbox.com/s/kwu1d2s7515yrhh/571-Chronicliverdiseaseandcirrhosis-2895cases-400055controls.mh.pdf?dl=0,darkgreen
571.5,"1,664","400,055","7,242",Other chronic nonalcoholic liver disease,digestive,https://www.dropbox.com/s/crvnmvxjcio1u6d/571.5-Otherchronicnonalcoholicliverdisease-1664cases-400055controls.mh.pdf?dl=0,darkgreen
571.51,114,"400,055","8,792",Cirrhosis of liver without mention of alcohol,digestive,https://www.dropbox.com/s/qenxdmru63105eo/571.51-Cirrhosisofliverwithoutmentionofalcohol-114cases-400055controls.mh.pdf?dl=0,darkgreen
571.6,254,"400,055","8,652",Primary biliary cirrhosis,digestive,https://www.dropbox.com/s/xxebhxrx80mvv6u/571.6-Primarybiliarycirrhosis-254cases-400055controls.mh.pdf?dl=0,darkgreen
571.8,942,"400,055","7,964",Liver abscess and sequelae of chronic liver disease,digestive,https://www.dropbox.com/s/esht8on745rvud8/571.8-Liverabscessandsequelaeofchronicliverdisease-942cases-400055controls.mh.pdf?dl=0,darkgreen
571.81,529,"400,055","8,377",Portal hypertension,digestive,https://www.dropbox.com/s/5pcllbkmn9f1xk0/571.81-Portalhypertension-529cases-400055controls.mh.pdf?dl=0,darkgreen
572,"1,547","400,055","7,359",Ascites (non malignant),digestive,https://www.dropbox.com/s/43wqts4nbgvz3su/572-Ascites-nonmalignant--1547cases-400055controls.mh.pdf?dl=0,darkgreen
573,"5,847","400,055","3,059",Other disorders of liver,digestive,https://www.dropbox.com/s/n2467h5vtyezo8d/573-Otherdisordersofliver-5847cases-400055controls.mh.pdf?dl=0,darkgreen
573.2,96,"400,055","8,810",Liver replaced by transplant,digestive,https://www.dropbox.com/s/o6c30jn5k3jegvg/573.2-Liverreplacedbytransplant-96cases-400055controls.mh.pdf?dl=0,darkgreen
573.3,297,"400,055","8,609",Hepatomegaly,digestive,https://www.dropbox.com/s/q8xuf0pygpia6pv/573.3-Hepatomegaly-297cases-400055controls.mh.pdf?dl=0,darkgreen
573.5,897,"400,055","8,009",Jaundice (not of newborn),digestive,https://www.dropbox.com/s/mz5400ltbobdkin/573.5-Jaundice-notofnewborn--897cases-400055controls.mh.pdf?dl=0,darkgreen
573.7,"3,479","400,055","5,427",Abnormal results of function study of liver,digestive,https://www.dropbox.com/s/2rutao7xsyqkgb5/573.7-Abnormalresultsoffunctionstudyofliver-3479cases-400055controls.mh.pdf?dl=0,darkgreen
573.9,209,"400,055","8,697",Abnormal serum enzyme levels,digestive,https://www.dropbox.com/s/fdmtqk4fr0ipywa/573.9-Abnormalserumenzymelevels-209cases-400055controls.mh.pdf?dl=0,darkgreen
574,"16,225","391,307","1,429",Cholelithiasis and cholecystitis,digestive,https://www.dropbox.com/s/l1yax0fv6xnsmrg/574-Cholelithiasisandcholecystitis-16225cases-391307controls.mh.pdf?dl=0,darkgreen
574.1,"13,777","391,307","3,877",Cholelithiasis,digestive,https://www.dropbox.com/s/kd9xkniwtydz4zo/574.1-Cholelithiasis-13777cases-391307controls.mh.pdf?dl=0,darkgreen
574.11,"1,513","391,307","16,141",Cholelithiasis with acute cholecystitis,digestive,https://www.dropbox.com/s/pij0s0q7ezxiwxq/574.11-Cholelithiasiswithacutecholecystitis-1513cases-391307controls.mh.pdf?dl=0,darkgreen
574.12,"5,472","391,307","12,182",Cholelithiasis with other cholecystitis,digestive,https://www.dropbox.com/s/x3ntchrgxqa5486/574.12-Cholelithiasiswithothercholecystitis-5472cases-391307controls.mh.pdf?dl=0,darkgreen
574.2,"2,634","391,307","15,020",Calculus of bile duct,digestive,https://www.dropbox.com/s/2bzia290z796chk/574.2-Calculusofbileduct-2634cases-391307controls.mh.pdf?dl=0,darkgreen
574.3,"2,761","391,307","14,893",Cholecystitis without cholelithiasis,digestive,https://www.dropbox.com/s/ye69g35ewgapjsn/574.3-Cholecystitiswithoutcholelithiasis-2761cases-391307controls.mh.pdf?dl=0,darkgreen
575,"3,892","391,307","13,762",Other biliary tract disease,digestive,https://www.dropbox.com/s/o8bcj77uuctywgn/575-Otherbiliarytractdisease-3892cases-391307controls.mh.pdf?dl=0,darkgreen
575.1,477,"391,307","17,177",Cholangitis,digestive,https://www.dropbox.com/s/3h04psqpaj3itfq/575.1-Cholangitis-477cases-391307controls.mh.pdf?dl=0,darkgreen
575.2,777,"391,307","16,877",Obstruction of bile duct,digestive,https://www.dropbox.com/s/5vavges5ne4kct5/575.2-Obstructionofbileduct-777cases-391307controls.mh.pdf?dl=0,darkgreen
575.6,458,"391,307","17,196",Cholesterolosis of gallbladder,digestive,https://www.dropbox.com/s/zth4hi6ql3du18y/575.6-Cholesterolosisofgallbladder-458cases-391307controls.mh.pdf?dl=0,darkgreen
575.7,"1,412","391,307","16,242",Other disorders of gallbladder,digestive,https://www.dropbox.com/s/8kdm2rlzoc5iazt/575.7-Otherdisordersofgallbladder-1412cases-391307controls.mh.pdf?dl=0,darkgreen
575.8,"1,040","391,307","16,614",Other disorders of biliary tract,digestive,https://www.dropbox.com/s/ram1kaizng9wyfd/575.8-Otherdisordersofbiliarytract-1040cases-391307controls.mh.pdf?dl=0,darkgreen
575.9,349,"391,307","17,305",Nonspecific abnormal findings on radiological and other examination of biliary tract,digestive,https://www.dropbox.com/s/bz2ioxe68n75pyi/575.9-Nonspecificabnormalfindingsonradiologicalandotherexaminationofbiliarytract-349cases-391307controls.mh.pdf?dl=0,darkgreen
577,"2,690","406,271",0,Diseases of pancreas,digestive,https://www.dropbox.com/s/5jhuqged15y4pph/577-Diseasesofpancreas-2690cases-406271controls.mh.pdf?dl=0,darkgreen
577.1,"1,986","406,271",704,Acute pancreatitis,digestive,https://www.dropbox.com/s/s9guxtw2lcgijem/577.1-Acutepancreatitis-1986cases-406271controls.mh.pdf?dl=0,darkgreen
577.2,514,"406,271","2,176",Chronic pancreatitis,digestive,https://www.dropbox.com/s/be5rh9ihma9u3zh/577.2-Chronicpancreatitis-514cases-406271controls.mh.pdf?dl=0,darkgreen
577.3,364,"406,271","2,326",Cyst and pseudocyst of pancreas,digestive,https://www.dropbox.com/s/rye01pxuvwg5ad1/577.3-Cystandpseudocystofpancreas-364cases-406271controls.mh.pdf?dl=0,darkgreen
578,"21,137","385,157","2,667",Gastrointestinal hemorrhage,digestive,https://www.dropbox.com/s/rhz1mv6g5c8jpdc/578-Gastrointestinalhemorrhage-21137cases-385157controls.mh.pdf?dl=0,darkgreen
578.1,"1,961","385,157","21,843",Hematemesis,digestive,https://www.dropbox.com/s/lt8h1dncz3b20ur/578.1-Hematemesis-1961cases-385157controls.mh.pdf?dl=0,darkgreen
578.2,"2,639","385,157","21,165",Blood in stool,digestive,https://www.dropbox.com/s/l3h6l2oeypm7ook/578.2-Bloodinstool-2639cases-385157controls.mh.pdf?dl=0,darkgreen
578.8,"13,222","385,157","10,582",Hemorrhage of rectum and anus,digestive,https://www.dropbox.com/s/yjffbfyfw86pi1e/578.8-Hemorrhageofrectumandanus-13222cases-385157controls.mh.pdf?dl=0,darkgreen
578.9,"5,229","385,157","18,575",Hemorrhage of gastrointestinal tract,digestive,https://www.dropbox.com/s/uzqfx2riv5yeniy/578.9-Hemorrhageofgastrointestinaltract-5229cases-385157controls.mh.pdf?dl=0,darkgreen
579,"3,195","385,157","20,609",Other symptoms involving abdomen and pelvis,digestive,https://www.dropbox.com/s/qbhitkcrhmcejm7/579-Othersymptomsinvolvingabdomenandpelvis-3195cases-385157controls.mh.pdf?dl=0,darkgreen
579.2,426,"385,157","23,378",Splenomegaly,digestive,https://www.dropbox.com/s/ha56s2bj8mek0uc/579.2-Splenomegaly-426cases-385157controls.mh.pdf?dl=0,darkgreen
579.8,"1,659","385,157","22,145",Nonspecific abnormal findings in stool contents,digestive,https://www.dropbox.com/s/6uwlnv48j7o44vw/579.8-Nonspecificabnormalfindingsinstoolcontents-1659cases-385157controls.mh.pdf?dl=0,darkgreen
580,"1,522","397,602","9,837",Nephritis; nephrosis; renal sclerosis,genitourinary,https://www.dropbox.com/s/udnpq4yz9cj49gz/580-Nephritis-nephrosis-renalsclerosis-1522cases-397602controls.mh.pdf?dl=0,goldenrod4
580.1,"1,033","397,602","10,326",Glomerulonephritis,genitourinary,https://www.dropbox.com/s/9ccgv7rwcypwj7a/580.1-Glomerulonephritis-1033cases-397602controls.mh.pdf?dl=0,goldenrod4
