Gene	CHR	nSNP
MEGF10	5	26
MEGF11	15	35
MEGF6	1	54
MEGF8	19	39
MEGF9	9	4
MEI1	22	27
MEIG1	10	7
MEIOB	16	11
MEIS1	2	3
MEIS2	15	3
MEIS3	19	11
MELK	9	16
MEN1	11	155
MEOX1	17	8
MEOX2	7	8
MEP1A	6	14
MEP1B	18	32
MEPCE	7	3
MEPE	4	22
MERTK	2	32
MESDC1	15	1
MESDC2	15	3
MESP1	15	3
MESP2	15	3
MEST	7	5
MET	7	28
METAP1	4	2
METAP1D	2	12
METAP2	12	5
METRN	16	2
METRNL	17	14
METTL1	12	3
METTL10	10	5
METTL11B	1	11
METTL12	11	8
METTL13	1	19
METTL14	4	4
METTL15	11	4
METTL16	17	9
METTL17	14	19
METTL18	1	12
METTL20	12	10
METTL21A	2	8
METTL21B	12	7
METTL21C	13	10
METTL21D	14	6
METTL22	16	22
METTL23	17	3
METTL24	6	10
METTL25	12	21
METTL2A	17	8
METTL2B	7	3
METTL3	14	8
METTL4	18	16
METTL5	2	7
METTL6	3	4
METTL7A	12	3
METTL7B	12	14
METTL8	2	11
METTL9	16	2
MEX3B	15	4
MFAP1	15	7
MFAP2	1	7
MFAP3	5	9
MFAP3L	4	8
MFAP4	17	3
MFAP5	12	4
MFF	2	16
MFGE8	15	15
MFHAS1	8	19
MFI2	3	38
MFN1	3	17
MFN2	1	14
MFNG	22	15
MFRP	11	21
MFSD1	3	15
MFSD10	4	13
MFSD11	17	7
MFSD12	19	20
MFSD2A	1	8
MFSD2B	2	17
MFSD3	8	12
MFSD4	1	4
MFSD5	12	7
MFSD6	2	18
MFSD6L	17	40
MFSD7	4	12
MFSD8	4	15
MFSD9	2	28
MGA	15	57
MGAM	7	57
MGARP	4	12
MGAT1	5	6
MGAT2	14	6
MGAT3	22	8
MGAT4A	2	14
MGAT4B	5	10
MGAT4C	12	7
MGAT5	2	10
MGAT5B	17	15
MGEA5	10	9
MGLL	3	10
MGMT	10	13
MGP	12	5
MGRN1	16	12
MGST1	12	4
MGST2	4	11
MGST3	1	6
MIA	19	4
MIA2	14	33
MIA3	1	51
MIB1	18	29
MIB2	1	25
MICA	6	15
MICAL1	6	54
MICAL2	11	45
MICAL3	22	50
MICALCL	11	29
MICALL1	22	19
MICALL2	7	47
MICB	6	5
MICU1	10	9
MID1	X	8
MID1IP1	X	1
MID2	X	5
MIDN	19	5
MIEN1	17	2
MIER1	1	7
MIER2	19	19
MIER3	5	7
MIF	22	1
MIF4GD	17	5
MIIP	1	23
MINA	3	21
MINK1	17	16
MINOS1	1	1
MINPP1	10	4
MIOS	7	10
MIOX	22	15
MIP	12	3
MIPEP	13	30
MIPOL1	14	7
MIR3654	11	7
MIR3928	22	1
MIR4277	5	1
MIS12	17	2
MIS18A	21	6
MIS18BP1	14	43
MITD1	2	5
MITF	3	15
MIXL1	1	2
MKI67	10	124
MKI67IP	2	8
MKKS	20	23
MKL1	22	26
MKL2	16	21
MKLN1	7	8
MKNK1	1	11
MKNK2	19	6
MKRN1	7	4
MKRN2	3	7
MKRN2-AS1	3	3
MKRN3	15	12
MKS1	17	22
MKX	10	8
MLANA	9	6
MLC1	22	15
MLEC	12	2
MLF1	3	11
MLF1IP	4	22
MLF2	12	4
MLH1	3	287
MLH3	14	50
MLIP	6	19
MLKL	16	30
MLL	11	38
MLL2	12	66
MLL3	7	92
MLL4	19	30
MLL5	7	27
MLLT1	19	10
MLLT10	10	12
MLLT11	1	1
MLLT3	9	4
MLLT4	6	40
MLLT6	17	10
MLN	6	4
MLNR	13	3
MLPH	2	31
MLST8	16	7
MLX	17	6
MLXIP	12	16
MLXIPL	7	18
MLYCD	16	14
MMAA	4	7
MMAB	12	10
MMACHC	1	16
MMADHC	2	14
MMD	17	3
MMD2	7	5
MME	3	20
MMEL1	1	34
MMGT1	X	1
MMP1	11	28
MMP10	11	21
MMP11	22	6
MMP12	11	1
MMP13	11	21
MMP14	14	14
MMP15	16	20
MMP16	8	4
MMP17	12	23
MMP19	12	29
MMP2	16	15
MMP20	11	28
MMP21	10	17
MMP24	20	11
MMP25	16	14
MMP26	11	7
MMP27	11	31
MMP28	17	5
MMP3	11	9
MMP7	11	14
MMP8	11	34
MMP9	20	19
MMRN1	4	41
MMRN2	10	19
MMS19	10	25
MMS22L	6	45
MN1	22	9
MNAT1	14	5
MND1	4	8
MNDA	1	22
MNF1	6	3
MNS1	15	16
MNT	17	4
MOAP1	14	10
MOB1B	4	2
MOB2	11	3
MOB3A	19	11
MOB3B	9	3
MOB3C	1	11
MOB4	2	2
MOBP	3	3
MOCOS	18	42
MOCS1	6	20
MOCS2	5	14
MOCS3	20	9
MOG	6	13
MOGAT1	2	22
MOGAT2	11	17
MOGAT3	7	15
MOGS	2	18
MOK	14	19
MON1A	3	7
MON1B	16	6
MON2	12	23
MORC1	3	26
MORC2	22	10
MORC3	21	9
MORC4	X	14
MORF4L1	15	5
MORF4L2	X	1
MORN1	1	26
MORN2	2	1
MORN3	12	6
MORN4	10	2
MORN5	9	6
MOS	8	6
MOSPD2	X	3
MOSPD3	7	8
MOV10	1	11
MOV10L1	22	45
MOXD1	6	18
MPC1	6	2
MPC2	1	3
MPDU1	17	11
MPDZ	9	78
MPEG1	11	19
MPG	16	14
MPHOSPH10	2	21
MPHOSPH6	16	8
MPHOSPH8	13	13
MPHOSPH9	12	30
MPI	15	14
MPL	1	23
MPLKIP	7	2
MPND	19	8
MPO	17	23
MPP1	X	6
MPP2	17	9
MPP3	17	16
MPP4	2	17
MPP5	14	14
MPP6	7	7
MPP7	10	20
MPPE1	18	15
MPPED1	22	1
MPPED2	11	1
MPRIP	17	4
MPST	22	5
MPV17	2	5
MPV17L	16	4
MPV17L2	19	2
MPZ	1	2
MPZL1	1	1
MPZL2	11	15
MPZL3	11	12
MR1	1	8
MRAP	21	10
MRAP2	6	4
MRC1	10	1
MRC1L1	10	7
MRC2	17	32
MRE11A	11	16
MREG	2	4
MRFAP1	4	2
MRFAP1L1	4	4
MRGPRD	11	15
MRGPRE	11	15
MRGPRF	11	8
MRGPRG	11	3
MRGPRX1	11	3
MRGPRX2	11	12
MRGPRX3	11	9
MRGPRX4	11	11
MRI1	19	16
MRM1	17	8
MRO	18	18
MRP63	13	8
MRPL1	4	10
MRPL10	17	6
MRPL11	11	5
MRPL12	17	7
MRPL13	8	5
MRPL14	6	1
MRPL15	8	15
MRPL16	11	8
MRPL17	11	1
MRPL18	6	5
MRPL19	2	9
MRPL2	6	9
MRPL20	1	4
MRPL21	11	11
MRPL22	5	11
MRPL23	11	7
MRPL24	1	6
MRPL27	17	5
MRPL28	16	11
MRPL3	3	12
MRPL30	2	9
MRPL32	7	9
MRPL33	2	1
MRPL34	19	2
MRPL35	2	9
MRPL36	5	1
MRPL37	1	16
MRPL38	17	11
MRPL39	21	16
MRPL4	19	15
MRPL40	22	8
MRPL41	9	3
MRPL42	12	5
MRPL43	10	9
MRPL44	2	12
MRPL45	17	15
MRPL46	15	10
MRPL47	3	8
MRPL48	11	5
MRPL49	11	5
MRPL50	9	5
MRPL51	12	3
MRPL52	14	4
MRPL53	2	8
MRPL54	19	2
MRPL55	1	8
MRPL9	1	10
MRPS10	6	9
MRPS11	15	7
MRPS12	19	4
MRPS14	1	2
MRPS15	1	7
MRPS16	10	5
MRPS17	7	1
MRPS18A	6	3
MRPS18B	6	7
MRPS18C	4	2
MRPS2	9	14
MRPS21	1	1
MRPS22	3	9
MRPS23	17	5
MRPS24	7	4
MRPS25	3	2
MRPS26	20	2
MRPS27	5	14
MRPS28	8	8
MRPS30	5	14
MRPS31	13	12
MRPS33	7	3
MRPS34	16	7
MRPS35	12	9
MRPS36	5	3
MRPS5	2	17
MRPS6	21	5
MRPS7	17	7
MRPS9	2	14
MRRF	9	8
MRS2	6	13
MRTO4	1	8
MRVI1	11	38
MRVI1-AS1	11	1
MS4A1	11	7
MS4A10	11	11
MS4A12	11	10
MS4A13	11	9
MS4A14	11	40
MS4A15	11	14
MS4A2	11	14
MS4A3	11	5
MS4A4A	11	11
MS4A5	11	7
MS4A6A	11	11
MS4A6E	11	7
MS4A7	11	9
MS4A8B	11	8
MSANTD1	4	5
MSANTD2	11	4
MSANTD3	9	2
MSANTD3-TMEFF1	9	4
MSANTD4	11	7
MSC	8	2
MSGN1	2	5
MSH2	2	394
MSH3	5	41
MSH4	1	22
MSH5	6	22
MSH5-SAPCD1	6	22
MSH6	2	475
MSI1	12	4
MSI2	17	2
MSL1	17	2
MSL2	3	10
MSL3	X	2
MSLN	16	35
MSLNL	16	33
MSMB	10	3
MSMO1	4	7
MSMP	9	6
MSN	X	1
MSR1	8	27
MSRA	8	11
MSRB1	16	2
MSRB2	10	9
MSRB3	12	4
MSS51	10	23
MST1	3	3
MST1R	3	42
MST4	X	3
MSTN	2	11
MSTO1	1	6
MSX1	4	5
MSX2	5	2
MT-ND5	M	1
MT1B	16	1
MT1E	16	2
MT1F	16	3
MT1G	16	1
MT1H	16	2
MT1M	16	2
MT3	16	1
MT4	16	7
MTA1	14	5
MTA2	11	9
MTA3	2	5
MTAP	9	3
MTBP	8	28
MTCH1	6	2
MTCH2	11	10
MTCP1NB	X	2
MTDH	8	5
MTERF	7	19
MTERFD1	8	13
MTERFD2	2	16
MTERFD3	12	8
MTF1	1	11
MTF2	1	7
MTFMT	15	14
MTFP1	22	2
MTFR1	8	9
MTG1	10	9
MTHFD1	14	16
MTHFD1L	6	20
MTHFD2	2	4
MTHFD2L	4	14
MTHFR	1	19
MTHFS	15	12
MTHFSD	16	25
MTIF2	2	20
MTIF3	13	9
MTL5	11	13
MTM1	X	1
MTMR1	X	4
MTMR10	15	18
MTMR11	1	20
MTMR12	5	17
MTMR14	3	13
MTMR2	11	13
MTMR3	22	33
MTMR4	17	15
MTMR6	13	19
MTMR7	8	19
MTMR8	X	44
MTMR9	8	18
MTNR1A	4	13
MTNR1B	11	12
MTO1	6	19
MTOR	1	17
MTPAP	10	8
MTR	1	34
MTRF1	13	14
MTRF1L	6	4
MTRNR2L4	16	1
MTRNR2L5	10	1
MTRNR2L8	11	2
MTRR	5	36
MTSS1	8	16
MTSS1L	16	13
MTTP	4	27
MTUS1	8	76
MTUS2	13	47
MTX1	1	2
MTX2	2	4
MTX3	5	8
MUC1	1	11
MUC12	7	40
MUC13	3	14
MUC15	11	17
MUC16	19	456
MUC17	7	149
MUC2	11	92
MUC20	3	6
MUC21	6	13
MUC22	6	52
MUC3A	7	1
MUC4	3	77
MUC5B	11	96
MUC6	11	105
MUC7	4	14
MUCL1	12	3
MUL1	1	8
MUM1	19	21
MUM1L1	X	7
MURC	9	14
MUS81	11	19
MUSK	9	25
MUSTN1	3	7
MUT	6	32
MUTYH	1	200
MVD	16	15
MVK	12	10
MVP	16	23
MX1	21	28
MX2	21	21
MXD1	2	6
MXD3	5	8
MXD4	4	1
MXI1	10	2
MXRA5	X	62
MXRA7	17	8
MXRA8	1	5
MYADML2	17	13
MYB	6	14
MYBBP1A	17	87
MYBL1	8	11
MYBL2	20	23
MYBPC1	12	17
MYBPC2	19	46
MYBPC3	11	351
MYBPH	1	16
MYBPHL	1	20
MYC	8	6
MYCBP	1	1
MYCBP2	13	48
MYCBPAP	17	45
MYCL1	1	4
MYCN	2	5
MYCT1	6	11
MYD88	3	5
MYEF2	15	12
MYEOV	11	19
MYEOV2	2	9
MYF5	12	3
MYF6	12	8
MYH1	17	72
MYH10	17	19
MYH11	16	730
MYH13	17	56
MYH14	19	44
MYH15	3	64
MYH2	17	37
MYH3	17	36
MYH4	17	64
MYH6	14	38
MYH7	14	538
MYH7B	20	62
MYH8	17	54
MYH9	22	32
MYL1	2	10
MYL10	7	7
MYL12A	18	2
MYL12B	18	1
MYL2	12	46
MYL3	3	52
MYL4	17	6
MYL5	4	15
MYL6	12	5
MYL6B	12	5
MYL7	7	7
MYLIP	6	13
MYLK	3	638
MYLK2	20	12
MYLK3	16	13
MYLK4	6	13
MYLPF	16	3
MYNN	3	6
MYO10	5	49
MYO15A	17	81
MYO16	13	45
MYO18A	17	31
MYO18B	22	94
MYO19	17	32
MYO1A	12	46
MYO1B	2	19
MYO1C	17	30
MYO1D	17	19
MYO1E	15	19
MYO1F	19	24
MYO1G	7	31
MYO1H	12	29
MYO3A	10	70
MYO3B	2	55
MYO5A	15	25
MYO5B	18	66
MYO5C	15	61
MYO6	6	27
MYO7A	11	74
MYO7B	2	57
MYO9A	15	77
MYO9B	19	48
MYOC	1	26
MYOCD	17	30
MYOD1	11	5
MYOF	10	77
MYOG	1	7
MYOM1	18	60
MYOM2	8	112
MYOM3	1	77
MYOT	5	14
MYOZ1	10	9
MYOZ2	4	8
MYOZ3	5	11
MYPN	10	38
MYPOP	19	3
MYRIP	3	37
MYSM1	1	21
MYT1	20	15
MYT1L	2	9
MZF1	19	23
MZT1	13	2
MZT2A	2	1
N4BP1	16	8
N4BP2	4	49
N4BP2L1	13	1
N4BP2L2	13	32
N4BP3	5	7
N6AMT1	21	7
N6AMT2	13	5
NAA10	X	1
NAA11	4	5
NAA15	4	5
NAA16	13	14
NAA20	20	1
NAA25	12	9
NAA30	14	2
NAA35	9	10
NAA38	7	1
NAA40	11	6
NAA50	3	1
NAA60	16	5
NAAA	4	22
NAALAD2	11	23
NAALADL1	11	38
NAALADL2	3	32
NAB1	2	3
NAB2	12	2
NABP1	2	9
NACA	12	29
NACA2	17	8
NACAD	7	17
NACC1	19	4
NACC2	9	2
NADK	1	14
NADKD1	5	9
NADSYN1	11	34
NAE1	16	9
NAF1	4	9
NAGA	22	11
NAGK	2	6
NAGLU	17	10
NAGPA	16	20
NAGS	17	4
NAIF1	9	5
NAIP	5	8
NALCN	13	21
NAMPT	7	1
NANOG	12	3
NANOGNB	12	3
NANOS2	19	4
NANOS3	19	5
NANP	20	5
NANS	9	12
NAP1L1	12	1
NAP1L2	X	5
NAP1L3	X	7
NAP1L4	11	5
NAP1L5	4	5
NAPA	19	8
NAPB	20	3
NAPEPLD	7	9
NAPG	18	8
NAPRT1	8	17
NAPSA	19	11
NARF	17	11
NARFL	16	19
NARG2	15	16
NARS	18	12
NARS2	11	18
NASP	1	16
NAT1	8	16
NAT10	11	31
NAT14	19	3
NAT16	7	5
NAT2	8	24
NAT6	3	8
NAT8	2	10
NAT8L	4	1
NAT9	17	4
NAV1	1	25
NAV2	11	73
NAV3	12	36
NBAS	2	82
NBEA	13	30
NBEAL1	2	57
NBEAL2	3	50
NBL1	1	2
NBN	8	27
NBPF10	1	1
NBPF3	1	11
NBPF4	1	3
NBPF9	1	1
NBR1	17	19
NCALD	8	2
NCAM1	11	10
NCAM2	21	12
NCAN	19	21
NCAPD2	12	41
NCAPD3	11	53
NCAPG	4	21
NCAPG2	7	28
NCAPH	2	15
NCAPH2	22	19
NCBP1	9	9
NCBP2	3	1
NCCRP1	19	9
NCDN	1	7
NCEH1	3	8
NCF2	1	18
NCF4	22	17
NCK1	3	9
NCK2	2	3
NCKAP1	2	6
NCKAP1L	12	21
NCKAP5	2	68
NCKAP5L	12	18
NCKIPSD	3	17
NCL	2	10
NCLN	19	6
NCMAP	1	5
NCOA1	2	12
NCOA2	8	27
NCOA3	20	24
NCOA4	10	11
NCOA5	20	7
NCOA6	20	36
NCOA7	6	20
NCOR1	17	23
NCOR2	12	50
NCR1	19	10
NCR2	6	16
NCR3	6	10
NCR3LG1	11	6
NCSTN	1	10
NDC80	18	13
NDE1	16	5
NDEL1	17	10
NDFIP1	5	1
NDFIP2	13	4
NDN	15	1
NDNF	4	9
NDNL2	15	7
NDOR1	9	31
NDP	X	3
NDRG1	8	9
NDRG2	14	12
NDRG3	20	7
NDRG4	16	8
NDST1	5	9
NDST2	10	24
NDST3	4	14
NDST4	4	32
NDUFA1	X	2
NDUFA10	2	11
NDUFA11	19	3
NDUFA12	12	4
NDUFA13	19	8
NDUFA2	5	3
NDUFA3	19	2
NDUFA4	7	2
NDUFA4L2	12	4
NDUFA5	7	5
NDUFA6	22	8
NDUFA7	19	4
NDUFA8	9	4
NDUFA9	12	15
NDUFAB1	16	3
NDUFAF1	15	16
NDUFAF2	5	1
NDUFAF3	3	2
NDUFAF4	6	2
NDUFAF5	20	14
NDUFAF6	8	7
NDUFB1	14	6
NDUFB10	16	2
NDUFB11	X	2
NDUFB2	7	3
NDUFB3	2	3
NDUFB4	3	2
NDUFB5	3	6
NDUFB6	9	5
NDUFB7	19	6
NDUFB8	10	9
NDUFB9	8	8
NDUFC1	4	2
NDUFC2	11	3
NDUFC2-KCTD14	11	4
NDUFS1	2	17
NDUFS2	1	12
NDUFS3	11	5
NDUFS4	5	7
NDUFS5	1	3
NDUFS6	5	2
NDUFS7	19	4
NDUFS8	11	6
NDUFV1	11	10
NDUFV2	18	4
NDUFV3	21	24
NEB	2	219
NEBL	10	53
NECAB1	8	3
NECAB2	16	19
NECAB3	20	14
NECAP1	12	5
NECAP2	1	11
NEDD1	12	15
NEDD4	15	38
NEDD4L	18	11
NEDD8-MDP1	14	5
NEDD9	6	23
NEFH	22	10
NEFM	8	25
NEGR1	1	6
NEIL1	15	18
NEIL2	8	22
NEIL3	4	27
NEK1	4	26
NEK10	3	14
NEK11	3	34
NEK2	1	11
NEK3	13	21
NEK4	3	30
NEK5	13	28
NEK6	9	3
NEK7	1	3
NEK8	17	17
NEK9	14	25
NELF	9	4
NELL1	11	40
NELL2	12	21
NEMF	14	22
NENF	1	6
NEO1	15	28
NES	1	35
NET1	10	16
NETO1	18	8
NETO2	16	4
NEU1	6	4
NEU2	2	13
NEU3	11	19
NEU4	2	16
NEURL	10	9
NEURL2	20	1
NEURL4	17	32
NEUROD1	2	8
NEUROD2	17	1
NEUROD4	12	10
NEUROD6	7	1
NEUROG1	5	3
NEUROG2	4	2
NEUROG3	10	3
NEXN	1	15
NF1	17	850
NF2	22	243
NFAM1	22	7
NFASC	1	37
NFAT5	16	14
NFATC1	18	25
NFATC2	20	17
NFATC2IP	16	5
NFATC3	16	24
NFATC4	14	25
NFE2	12	3
NFE2L1	17	9
NFE2L2	2	12
NFE2L3	7	11
NFIA	1	4
NFIB	9	6
NFIC	19	9
NFIL3	9	6
NFIX	19	2
NFKB1	4	21
NFKB2	10	10
NFKBIA	14	6
NFKBIB	19	9
NFKBID	19	2
NFKBIE	6	5
NFKBIL1	6	5
NFKBIZ	3	14
NFRKB	11	22
NFS1	20	10
NFU1	2	3
NFX1	9	35
NFXL1	4	17
NFYA	6	6
NFYB	12	1
NFYC	1	5
NGB	14	4
NGDN	14	18
NGEF	2	10
NGF	1	7
NGFR	17	9
NGFRAP1	X	1
NGLY1	3	20
NGRN	15	12
NHEJ1	2	8
NHLH1	1	3
NHLRC1	6	6
NHLRC2	10	20
NHLRC3	13	17
NHLRC4	16	4
NHP2	5	5
NHS	X	25
NHSL1	6	18
NHSL2	X	20
NICN1	3	3
NID1	1	49
NID2	14	67
NIF3L1	2	15
NIN	14	72
NINJ1	9	3
NINJ2	12	10
NINL	20	67
NIP7	16	5
NIPA1	15	1
NIPA2	15	6
NIPAL1	4	17
NIPAL2	8	11
NIPAL3	1	8
NIPAL4	5	14
NIPBL	5	24
NIPSNAP1	22	3
NIPSNAP3A	9	11
NIPSNAP3B	9	14
NISCH	3	29
NIT1	1	11
NIT2	3	10
NKAIN1	1	8
NKAIN2	6	2
NKAIN3	8	4
NKAIN4	20	10
NKAP	X	3
NKAPL	6	20
NKD1	16	10
NKD2	5	18
NKG7	19	5
NKIRAS1	3	3
NKIRAS2	17	4
NKPD1	19	7
NKRF	X	4
NKTR	3	34
NKX1-2	10	5
NKX2-2	20	7
NKX2-3	10	2
NKX2-5	5	4
NKX2-6	8	1
NKX2-8	14	5
NKX3-2	4	2
NKX6-1	4	3
NKX6-2	10	2
NKX6-3	8	5
NLE1	17	17
NLGN1	3	10
NLGN2	17	6
NLGN3	X	2
NLGN4Y	Y	2
NLK	17	3
NLN	5	23
NLRC3	16	44
NLRC4	2	24
NLRC5	16	52
NLRP1	17	50
NLRP10	11	16
NLRP11	19	33
NLRP12	19	54
NLRP13	19	38
NLRP14	11	52
NLRP2	19	34
NLRP3	1	14
NLRP4	19	38
NLRP5	19	59
NLRP6	11	21
NLRP7	19	36
NLRP8	19	57
NLRP9	19	30
NLRX1	11	44
NMB	15	7
NMBR	6	22
NMD3	3	11
NME1	17	5
NME1-NME2	17	2
NME2	17	6
NME3	16	4
NME4	16	7
NME5	5	8
NME6	3	11
NME7	1	11
NME8	7	29
NME9	3	8
NMI	2	12
NMNAT1	1	6
NMNAT2	1	3
NMNAT3	3	11
NMRAL1	16	15
NMRK1	9	9
NMRK2	19	13
NMS	2	13
NMT1	17	4
NMT2	10	11
NMU	4	8
NMUR1	2	21
NMUR2	5	24
NNMT	11	7
NNT	5	19
NOA1	4	12
NOB1	16	13
NOBOX	7	19
NOC2L	1	36
NOC3L	10	29
NOC4L	12	20
NOD1	7	33
NOD2	16	42
NODAL	10	11
NOG	17	2
NOL10	2	15
NOL11	17	12
NOL12	22	10
NOL3	16	7
NOL4	18	3
NOL6	9	40
NOL7	6	5
NOL8	9	32
NOL9	1	16
NOLC1	10	14
NOM1	7	38
NONO	X	1
NOP14	4	29
NOP16	5	9
NOP2	12	28
NOP56	20	9
NOP58	2	9
NOP9	14	23
NOS1	12	26
NOS1AP	1	5
NOS2	17	28
NOS3	7	23
NOSIP	19	3
NOSTRIN	2	21
NOTCH1	9	668
NOTCH2	1	37
NOTCH2NL	1	1
NOTCH3	19	39
NOTCH4	6	52
NOTO	2	3
NOTUM	17	10
NOV	8	10
NOVA1	14	2
NOVA2	19	1
NOX1	X	16
NOX3	6	23
NOX4	11	11
NOX5	15	39
NOXA1	9	14
NOXO1	16	14
NOXRED1	14	3
NPAP1	15	42
NPAS1	19	4
NPAS2	2	15
NPAS3	14	15
NPAS4	11	12
NPAT	11	34
NPB	17	3
NPBWR1	8	8
NPBWR2	20	20
NPC1	18	54
NPC1L1	7	317
NPC2	14	9
NPDC1	9	10
NPEPL1	20	7
NPEPPS	17	6
NPFF	12	6
NPFFR1	10	10
NPFFR2	4	30
NPHP1	2	27
NPHP3	3	34
NPHP4	1	71
NPHS1	19	28
NPHS2	1	7
NPL	1	13
NPLOC4	17	8
NPM1	5	3
NPM2	8	7
NPM3	10	3
NPNT	4	23
NPPA	1	8
NPPB	1	8
NPPC	2	1
NPR1	1	18
NPR2	9	11
NPR3	5	6
NPRL2	3	4
NPRL3	16	6
NPS	10	6
NPSR1	7	31
NPTN	15	4
NPTX1	17	8
NPTX2	7	6
NPTXR	22	7
NPVF	7	6
NPW	16	3
NPY	7	2
NPY1R	4	6
NPY2R	4	8
NPY5R	4	7
NQO1	16	16
NQO2	6	18
NR0B1	X	5
NR0B2	1	11
NR1D1	17	7
NR1D2	3	13
NR1H2	19	3
NR1H3	11	11
NR1H4	12	10
NR1I2	3	20
NR1I3	1	13
NR2C1	12	10
NR2C2	3	3
NR2C2AP	19	1
NR2E1	6	1
NR2F1	5	1
NR2F6	19	2
NR3C1	5	11
NR3C2	4	13
NR4A1	12	13
NR4A2	2	2
NR4A3	9	6
NR5A1	9	5
NR5A2	1	3
NR6A1	9	5
NRAP	10	96
NRBP1	2	3
NRBP2	8	5
NRCAM	7	36
NRD1	1	19
NREP	5	5
NRF1	7	1
NRG1	8	34
NRG2	5	11
NRG3	10	17
NRG4	15	4
NRIP1	21	35
NRIP2	12	13
NRIP3	11	9
NRK	X	24
NRL	14	4
NRM	6	6
NRN1	6	2
NRN1L	16	13
NRP1	10	16
NRP2	2	27
NRSN1	6	4
NRSN2	20	4
NRTN	19	3
NRXN1	2	16
NRXN2	11	21
NRXN3	14	15
NSA2	5	2
NSD1	5	38
NSDHL	X	12
NSF	17	1
NSFL1C	20	6
NSG1	4	7
NSL1	1	10
NSMAF	8	26
NSMCE1	16	7
NSMCE2	8	5
NSMCE4A	10	6
NSRP1	17	17
NSUN2	5	13
NSUN3	3	11
NSUN4	1	17
NSUN5	7	6
NSUN6	10	18
NSUN7	4	21
NT5C	17	9
NT5C1A	1	7
NT5C1B	2	23
NT5C1B-RDH14	2	22
NT5C2	10	11
NT5C3	7	4
NT5C3L	17	12
NT5DC1	6	8
NT5DC2	3	15
NT5DC3	12	7
NT5E	6	14
NT5M	17	4
NTAN1	16	7
NTF3	12	4
NTF4	19	3
NTHL1	16	9
NTM	11	6
NTN1	17	5
NTN3	16	8
NTN4	12	13
NTN5	19	12
NTNG1	1	3
NTNG2	9	3
NTPCR	1	6
NTRK1	1	27
NTRK2	9	8
NTRK3	15	11
NTS	12	5
NTSR1	20	22
NTSR2	2	15
NUAK1	12	14
NUAK2	1	13
NUB1	7	13
NUBP1	16	8
NUBP2	16	9
NUBPL	14	10
NUCB1	19	19
NUCB2	11	9
NUCKS1	1	1
NUDC	1	7
NUDCD1	8	16
NUDCD2	5	2
NUDCD3	7	10
NUDT1	7	9
NUDT10	X	1
NUDT12	5	17
NUDT13	10	20
NUDT14	14	9
NUDT15	13	5
NUDT16	3	5
NUDT16L1	16	9
NUDT17	1	12
NUDT18	8	8
NUDT19	19	8
NUDT2	9	4
NUDT22	11	11
NUDT3	6	2
NUDT4	12	2
NUDT5	10	4
NUDT6	4	11
NUDT7	16	16
NUDT8	11	4
NUDT9	4	9
NUF2	1	14
NUFIP1	13	6
NUFIP2	17	12
NUGGC	8	29
NUMA1	11	60
NUMB	14	6
NUMBL	19	8
NUP107	12	14
NUP133	1	33
NUP153	6	42
NUP155	5	22
NUP160	11	34
NUP188	9	42
NUP205	7	35
NUP210	3	61
NUP210L	1	43
NUP214	9	54
NUP35	2	6
NUP37	12	6
NUP43	6	13
NUP50	22	5
NUP54	4	9
NUP62	19	16
NUP62CL	X	8
NUP85	17	12
NUP88	17	16
NUP93	16	17
NUP98	11	57
NUPL1	13	14
NUPL2	7	15
NUPR1	16	3
NUPR1L	7	1
NUSAP1	15	14
NVL	1	34
NWD1	19	78
NXF1	11	6
NXF3	X	9
NXF5	X	8
NXN	17	4
NXNL1	19	8
NXNL2	9	3
NXPE1	11	25
NXPE2	11	13
NXPE3	3	13
NXPE4	11	25
NXPH2	2	2
NXPH3	17	6
NXPH4	12	1
NXT1	20	1
NXT2	X	3
NYAP1	7	9
NYAP2	2	10
NYNRIN	14	33
NYX	X	4
O3FAR1	10	8
OAF	11	6
OAS1	12	25
OAS2	12	18
OAS3	12	36
OASL	12	18
OAT	10	14
OAZ1	19	4
OAZ2	15	2
OAZ3	1	3
OBFC1	10	15
OBP2A	9	8
OBP2B	9	2
OBSCN	1	250
OBSL1	2	51
OC90	8	21
OCA2	15	49
OCEL1	19	13
OCIAD1	4	10
OCIAD2	4	12
OCLM	1	2
OCLN	5	7
OCM	7	3
OCM2	7	2
OCRL	X	5
OCSTAMP	20	7
ODAM	4	10
ODC1	2	9
ODF1	8	10
ODF2	9	24
ODF2L	1	21
ODF3	11	12
ODF3B	22	4
ODF3L1	15	11
ODF3L2	19	6
ODF4	17	12
ODZ1	X	29
ODZ2	5	39
ODZ3	4	47
ODZ4	11	55
OFCC1	6	2
OFD1	X	10
OGDH	7	14
OGDHL	10	33
OGFOD1	16	18
OGFOD2	12	14
OGFR	20	12
OGFRL1	6	3
OGG1	3	18
OGN	9	3
OIP5	15	5
OIT3	10	14
OLA1	2	2
OLAH	10	12
OLFM1	9	4
OLFM2	19	8
OLFM3	1	7
OLFM4	13	18
OLFML1	11	21
OLFML2A	9	21
OLFML2B	1	29
OLFML3	1	9
OLIG2	21	1
OLIG3	6	9
OLR1	12	3
OMA1	1	21
OMD	9	10
OMG	17	3
OMP	11	9
ONECUT1	15	3
ONECUT2	18	2
ONECUT3	19	1
OOEP	6	7
OPA1	3	27
OPA3	19	4
OPALIN	10	7
OPCML	11	3
